SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20210319,458140100,INTC,694150.0,INTEL CORP;COM USD0.001,63.73
20210322,458140100,INTC,4045.0,INTEL CORP;COM USD0.001,63.76
20210323,458140100,INTC,51190.0,INTEL CORP;COM USD0.001,65.63
20210324,458140100,INTC,10480.0,INTEL CORP;COM USD0.001,63.48
20210325,458140100,INTC,300.0,INTEL CORP;COM USD0.001,62.04
20210330,458140100,INTC,43026.0,INTEL CORP;COM USD0.001,64.5
20210401,458140100,INTC,114582.0,INTEL CORP;COM USD0.001,64.0
20210406,458140100,INTC,950.0,INTEL CORP;COM USD0.001,66.54
20210407,458140100,INTC,5142.0,INTEL CORP;COM USD0.001,65.56
20210408,458140100,INTC,33685.0,INTEL CORP;COM USD0.001,66.25
20210409,458140100,INTC,5814.0,INTEL CORP;COM USD0.001,67.05
20210412,458140100,INTC,35847.0,INTEL CORP;COM USD0.001,68.26
20210413,458140100,INTC,15815.0,INTEL CORP;COM USD0.001,65.41
20210415,458140100,INTC,105335.0,INTEL CORP;COM USD0.001,64.19
20210420,458140100,INTC,52872.0,INTEL CORP;COM USD0.001,63.63
20210421,458140100,INTC,4755.0,INTEL CORP;COM USD0.001,62.7
20210422,458140100,INTC,1.0,INTEL CORP;COM USD0.001,63.7
20210423,458140100,INTC,29881.0,INTEL CORP;COM USD0.001,62.57
20210427,458140100,INTC,52058.0,INTEL CORP;COM USD0.001,58.76
20210428,458140100,INTC,4035.0,INTEL CORP;COM USD0.001,57.97
20210430,458140100,INTC,281.0,INTEL CORP;COM USD0.001,58.28
20210511,458140100,INTC,1521.0,INTEL CORP;COM USD0.001,55.97
